commentaire,dialect,classe
"""الشيطان أحمد شاهين نعى الدستور دا من سنتين في اتصال مع عمرو أديب .. أعلن وفاته قبل مولده ما تقوليش فلك لعب كبار الإنس""",Egypt,hate
من كبانيه مأمور السجن شخصيا يا ياسمين,Egypt,hate
تحرش بها في الحافلة و الفتاة مستمتعة !!! :O,Egypt,abusive
عملاء الأمن يا حقير؟ لو عملاء يبقو تبع أجهزة أمن بلدهم.. إنت تبع أجهزة أمن مين يا حقير؟ أمريكا ولا فرنسا ولا ولا؟,Egypt,hate
كسم كل كلاب السيسي يا ريس ... عاش نضالك يا ريس,Egypt,abusive
انا.عاوزك.تريح.نفسك.الي.حصل.مش.هيحصل.تاني.يا.ابو.الكلب,Egypt,abusive
هى طابا رجعت على ايد مين وبعدين ال30 سنه ما كانوش كلهم سود خلينا منصفين اينعم فيه سلبيات بس مش كلها سلبيات,Egypt,normal
كلام كل سنه,Egypt,normal
لو19 سعه شغل يخلوك تتجوز هيفاء وهبى أنا مستعد أشتغل سنه كل يوم ياحيلة أمك وأجوز نانسى وهيفا وروبى,Egypt,abusive
في المحروسة خاصة والعالم العربي عموما لاتوجد أولويات سوي تمكين الحكم وتثبيت كرسي الحاكم بالغراء؛ أما التعليم فرفاهية لايريدونها.,Egypt,normal
اري انك من الأرذال وانك عاشق سئالة وتري بعين اعور خبيث,Egypt,hate
هتتكلم ** طبعا يعني انت شاطر يا محمد و مش محتاج اصححها بس برضو للتأكيد يعني,Egypt,normal
قطه ؟ لأ وكمان طلعت حقير مبتعرفش تتحاور,Egypt,hate
روح شوفلك حد يربيك. حثالة بشر,Egypt,hate
اوسخ من اعلامنا مفيش .,Egypt,abusive
"""انت ليه كئيب وبتبث طاقة سلبية ؟ متعرفش تقول كلمتين كويسين للناس من غير ما تدب كلام كئيب ومحبط ؟""",Egypt,hate
هو إيه بالضبط؟,Egypt,normal
انت منافق,Egypt,hate
كل عام و انت طيب يا ريس ناصرا للحق منصورا به إن شآء الله :)),Egypt,normal
وضح تماما ان اصلك واطى,Egypt,hate
"""#رصد | #شاهد | ""المصري"" بعد استبعادها: ""مرشحين صوروا أفلام إباحية واتقبلوا""""",Egypt,abusive
يا جماعة البرادعى انسان نكرة بلاش تهتمو لتصريحاته,Egypt,hate
الراجل الذي ضرب #العرص #يوسف_الحسيني على قفاه يجب عليه غسل يده عشر مرات إحداها بالتراب لان الحسيني انجس من 🐶 الكلب #مصر,Egypt,abusive
#اليوم_السابع | #وزيرة_الهجرة: أتابع مع الخارجية حادث الاعتداء على العامل المصرى بالأردن,Egypt,normal
"""مش بقولك البرسيم عمل عميلوة بوريك مقطع ععلشان تفهم لكن نتائج تحاليل الكائن السييساوي متجيبش اكتر من كده""",Egypt,hate
"""يختلف المنصفون على القضاء الشامخ لكنهم يتفقون على القاضى الشامخ: زكريا عبد العزيز. كل التضامن مع المستشار الجليل النبيل رمز استقلال القضاء""",Egypt,normal
القحبة لما تتوب بتعرص,Egypt,abusive
"""ممكن يا ياسمين تقوليلوا انه خروف ﻷني قولتله كتير بس بيفتكرني بشتمه يمكن يصدقك إنتي""",Egypt,normal
انت اللى بقيت ملط ... وبكرة الثوار هيقلعوك ملط ياراجل يا نلط,Egypt,abusive
حسبي الله في الطبالين بتوع الاعلام,Egypt,hate
انا شايفه مفيش قايدة,Egypt,normal
الكفروالايمان من حق ربنا كما جاء فى جميع الاديان اى حاجة تانية قابلة لحكم العقل اليشرى والشواهد المنطقية,Egypt,normal
اهلاااااااااااااااااا ازيك يا بلبلي ليك واحشه انت رجعت الشغل تاني؟ اصل انا دايما بمدح فيك واقول انك من افضل القوادين يا بلبلي,Egypt,hate
بطل كلام لانك منافق والناس كانت مخدوعه فيك تعرف المنافق عند الله فين في جهنم,Egypt,hate
ايه يا عم بلال قلب جمد تاني ولا ايه؟,Egypt,normal
الى كل الإخوة في مصر تمت مساء هذا اليوم المصالحة وأغلقت القضية,Egypt,normal
اخرس ياعديم الاخلاق,Egypt,hate
أعلن للعالم كله أن بوصلتنا مضبوطة على دعم فلسطين ضد المحتل الغاصب وأننا مع كل مقاومة ضد أي محتل #الرئيس,Egypt,normal
الذي قتلهم هو تقصير المسئول عن تدريبهم و كفاكم تلبيس اي حاجه علي في الاخوان و تعليق خيبت من تطبلون له عليهم,Egypt,normal
اوردوغان يقتل و يشرد الأكراد و لكن عندما وجدوا جثة الطفل السوري الكردي علي شواطئ تركيا هاج و ماج وهاجم الكل !!!!!,Egypt,normal
ويكتب ايضا كهنة الاعلام وسحرة العقول الساقطة,Egypt,normal
تتكلم مع رئيس جمهورية مصر العربية باحترام ياقذر ياعبد اللبيادة ياكلب,Egypt,abusive
حضرتك الاعتزار وحده مش كفايه لابد وإن كان صادقاً واشك فى ذالك أن يقوم بتدشين حمله برعايته فى أوربا لإسقاط الإنقلاب,Egypt,normal
انت عديم الرباية ومش متربى وخسارة اللقمة الى بتاكلها هنا على ارضنا يا لاجىء يالقيط ياعديم الاهلية,Egypt,abusive
يترى حطير بحنيه علشان متزعجش حضرتك ...وما تنتقدهاش كعادتك,Egypt,normal
ودت الزانيه ان يكن كل النساء. زواني,Egypt,abusive
#رصد | قناة CBC تصف قتلى اليهود بالشهداء.. وأبو خليل: إعلام صهيوني,Egypt,hate
الرقاصين احسن من المعرصين,Egypt,abusive
يا خائن يا منافق يا آفاق يا نصاب يا فاشل يا وصولى يا محلل يا مجعراتى انت ضيعت مصر بلدك و بعت دماء الشهدا اترك فلسطين لرجالها,Egypt,hate
"""لا فرق بين نفايات بيروت في الشارع واعلام مصر في الفضاء كلهم زبالة""",Egypt,hate
لية بتساعدوة ...لما تعملوا ريتويت للعميل الخائن لكلاموة الاخرق الحيوان,Egypt,hate
سيبك انت .كنت مسخرة يا ريس الله ينور وبرضو كالعادة مفهمتش اى حاجة =)) .. الخلاصة انك بتأكد اهمية رحيلك يوم 30... وصلت يا برنس,Egypt,hate
يا ما فيه ناس من جنسيات اخرى اكثر مصرية وانتماء من بعض ممايحملون الجنسية المصرية,Egypt,normal
"متوقعك زملكاوي يلا خير الله يسامحك""",Egypt,normal
غضب ربنا باين على وشك,Egypt,hate
"""اين المخلص اين المخلص خالد داوود بيقول شرفنا بتويتة من البرادعى النهاردة اه يا خونة يا اوساخ اه""",Egypt,hate
يادكتور النظام دا بيصنع نهايتة بإيدة #حريتهم_هى_حريتنا، انزل مصر يابوب,Egypt,normal
هههههههههههههه يروح يتعالج بعقدة الاضطهاد اللي عنده دي ويرحمنا,Egypt,hate
وهو نحسبه حاز شهادة صدق الإيمان,Egypt,normal
#رصد | #مقالات | محمود عليان يكتب : متى يفيق المصريون من وهم #السيسي ؟,Egypt,normal
و ليه مكتبتش عن رفض اوراق احمد عز ولا انت بتلعب على أجندة الحريات يا عميل ، اللي زيك ما يستاهلش يشم هواها اساسا,Egypt,hate
انت فين يابو سلمي بقالك كتير مش ظاهر😂😂قلقت عليك والله ليكون جالك جلطة والا سكته قلبيه والا شلل خضتنا عليك وانت زي القرد أهو😂,Egypt,hate
ان لم تفعل لا نصدق انك انت اعتدنا منك مخالفة ع طول الخط يبدو انك رضعت من خبث وتربيت ف اسوء بيئة صنعوا منك كرهاً ونفورا. صرفك ربي,Egypt,hate
كلب العسكر,Egypt,hate
وماذا عن المحتجزين في زنازين الانقلاب .. بينت على حقيقتك يا كمبارس,Egypt,hate
ولعها ولعها سعللها شعللها جاين في اي نصيبه وخلاص جتك القرف,Egypt,hate
اعتقد حضرتك تدعو لمؤتمر دولى للحوار للسلمي مع داعش والاخوان وبيت المقدس وبوكو حرام والقاعدة على مائدة المفاوضات !,Egypt,normal
كل حكامنا يعرفون من أين تأُكل حقوق حريات الشعب بجعل كلمت امن الوطن والجيش وقل ماتشاء علي من تشاء,Egypt,normal
كما لو أنه عندة الحقيقة كاملة,Egypt,normal
ده برنامج آيات مشترك فيه يكتب كل يوم ايه على الحساب الي زي ده ميعرفش ربنا ابو حمالات,Egypt,hate
هو كان ممكن ياخدها بس فى الشرعية ........اكتر واحد قال الكلمة دى فى خطابه ....حافظ مش فاهم هههههههههههههههه,Egypt,hate
الامنجية و المرتشون والفاسدون و القتلة والجلادون..كلهم يؤدون الحج وتنهمر دموعهم خشوعا.الدين عندنا مجرد استيفاء اجراءات منفصل تماما عن السلوك,Egypt,hate
اعلام ـ قضاء ـ داخلية ـ جيش انتم شعب وباقي فئات الشعب شعب اخر ليس له حق في هذه البلد,Egypt,normal
ما المحروسه مطلعاكوا دكاترة قد الدنيا أهه .. مالها المحروسه وماله التمكين ياعم ؟,Egypt,normal
قشطه عليك يابو سلمي..بس ايه رأيك في سيدك السيسي ..اشكره انه عبرك وارسل لك دعوه لحضور اﻻحتفال ..انت جزمه وﻻ تسوي ياحمضين,Egypt,abusive
يا جماعه مفيش راجل يدهوله اشد من كده ؟,Egypt,abusive
#رصد | #شاهد.. رجال دين أجازوا الجنس والخمر وسماع الأغاني,Egypt,normal
"""ماتخرس بقى ياسى عيﻻد ماحدش طايق وشك خﻻص،،،اتفو ال وانا اللى كنت بسمعك وقت مجيده العره؟ كنتو مففلن""",Egypt,hate
مشايخ الوهابية يصرفون الملايين من اجل نشر الحجاب والنقاب ولا يفعلون شيئا لانقاذ اللاجئين السوريين لان خوفهم من جسد المراة اكبر من انسانيتهم,Egypt,normal
إبراهيم عيسى في شهادته.مبارك مسؤول عن كل قطرة دم.ولم ولن أقول ان جماعة 6 إبريل خائنة أوعميلة، أنا قلت إنهم شباب وطني,Egypt,normal
ده تركيز يا دكتور,Egypt,normal
وهذا سبب عدم وجود برلمان حتى يسهل له تمرير كل مخططه؛بالله هل هذه دوله أو هدا رئيس؛كل ذلك وأنت تطبل لانك بدون وطنيه وضيع,Egypt,hate
من خيبتهم وغباوتهم,Egypt,hate
التغريدات السابقة من سفاسف الأمور لهذا الأسبوع، وبها حديث عن أوبريت السيسي وماء المريخ ومديحة كامل والبتنجان المقلي,Egypt,normal
"""البلد بلدنا والدستور بتاعنا نغيره نعمله اراطيس لب نطيره نحطه فى خرمك انت مال اهلك""",Egypt,abusive
قريره دقيق جدا بقوله لم اجد في العراق اسلحة دمار شامل ولايستطيع ان يقول لايوجد اسلحة دمار شامل!,Egypt,normal
ماتعلي صوتك ياعم بلال . ولا علشان الكلام مافي سيئ الذكر ولا الاخوان بتوشوش نفسك وخايف . صحيح انت راجل كبرت ومش وش بهدله ولا سجون,Egypt,hate
خلي الكلاب الي شتمتك في امريكا اولاد جهاد النكاح يجوا هنا مصر واحنا ننيك ابوهم وهلهم واحد واحد,Egypt,abusive
صدقت ثمن الإعتراض الموت والنفى ثمن السكوت الخزى والعار,Egypt,normal
للأسف انتماءك لحركة الإخوان تطغى على انتمائك الوطني .. هل من الصعب أن تخلص لقلمك و قرائك بأن تنزه كتاباتك من الطائفية المقيتة ؟ن,Egypt,normal
اذا كان هو كده والارهابين رادو عليه باالعتف ده ولو بقي اشد هيهدو البلد يااستاذ يوسف,Egypt,normal
الجيش.تاج.علي.راسك.باكلب..يا.ابن.الكلب.,Egypt,abusive
يبقى كده ضمنا فشلها,Egypt,normal
"""على كده انت مراتك ممكن تنزلها بالبيبي دول التحرير في الثوره الجايه عاوز رد عاجل علشان نستعد ونعمل الدعايه انت فاهم طبعا""",Egypt,hate
العرب محتاجين يفهموا يعنى ايه انسانيه الاول,Egypt,normal
،برنامج يدعو للتفكير أكيد يمنعوه لأنهم خوافون وليس فقط خائفين.2/3,Egypt,normal
والله زمان يا بن الهبلة ، يلا قوم معاد جلسة الكهرباء,Egypt,hate
محة لسع لانه يعرف ان بوتن نومة فى الدرة وعمل ما طالبة به السيسى ... العباسية قريبا سترحب بقناوى هنادى التركى.. البس القميص يقناوى,Egypt,hate
انا بشتغل 14 ساعة ومش لاقى اكل,Egypt,normal
ابراهيم عيسى لعنة الله عليك بكل كتاب ياخنزيريانجس ياصهاينة العرب انكشفت وجوهكم كلاب,Egypt,hate
يعني دي سحنه تجيب سياحه يا ناس ؟ دي سحنه تجيب مرض بالكتير,Egypt,hate
الزعيم البطل ؟ ياعرص دة بيتناك م العساكر زيك بالضبط,Egypt,abusive
الحقيقة انا من الصعيد وبالتحديد قنا وعمرى ما شفت حزب سياسى ولا حسيت بة ههههههههههه,Egypt,normal
لا تنسى انك شاركت في ذبح و حرق من لجئوا الى المساجد يوم ارتكبتم مذبحة رابعة ..!,Egypt,normal
يامعرص انا وقفت قدامك نصف ساعه ولم تتجرأ تمد أيدك انت كلب زي العرص الكبير ال اسمه السيسي جبناء,Egypt,abusive
"""صايعين the Egyptian onion البرادعي ووائل غنيم ونادر بكار على رأس الحضور في حفل تخرج باسم يوسف من المحفل الماسوني """,Egypt,normal
لاهم رجال ولالهم علاقة بدين وخاصة الآديان السماوية كلها حرمت الرزائل التي يحلها هؤلاء الآدعياء ودين الاسلام اكمل وآصح دين,Egypt,normal
المداخلة الكاملة للسيد #حمدين_صباحي مع الاعلامي وائل الابراشي على خلفية الحادث الارهابي الجبان,Egypt,normal
متلون كاذب فقدت القدرة حتي علي الكذب,Egypt,hate
وإيه دخل حضرتك يا أفندم بحاجة زي كده؟! ده شأن مصري داخلي!,Egypt,normal
فعلا حرية سرقة المقالات حرية الفاظك القبيحه مثلا حرية حرق المجمع العلمي حرية التمويل الاجنبي اللي علمك حريه مابيطبقهاش,Egypt,hate
تسمحلي اقولك انت راجل حمار,Egypt,hate
تحيه للبطل الرئيس محمد حسنى مبارك,Egypt,normal
المشكله مش ف الي بينشروا الخرافات والجهل المشكله ف الناس اللي بتصدق . طول مافيش تعليم ووعي هنفضل ملطشه للناس دي,Egypt,normal
عقبال لما نسمع خبرك في حادث والبلد تنظف من امثالك,Egypt,hate
مبلاش تدخل نفسك في الرسول خليك في اي شخصيه تاريخيه اسلاميه احسن عشان متخسرش ناس اكتر من كدهودي رسالة محب,Egypt,normal
هؤلاء رجال دين ؟؟؟!!! شيء عجيب ... هم عبيد للسيسي فقط ...,Egypt,hate
طظظظ فيك وفي رابعة بتاعتك خليها تاكلك بقى,Egypt,abusive
عايز تفهمني إن المجلس الأعلى للعالم سابوا موورتضى منصور واختاروك إنت؟!! صعبة دي يا باااااسيم,Egypt,normal
"""ربنا يفك اسرك يا ريس وأسر الأحرار عاجل غير اجل""",Egypt,normal
دول عبيد باسم !! انت ما تعرفش غير ستات كده يعني اتربيت في وسطهم ففاكر الكل كده ده غير ان ضعيف الشخصية والحجة بيشتم,Egypt,hate
"""بجد يا باسم كلنا مفتقدينك ربنا يرجعك بالسلامه""",Egypt,normal
هاهاهاهاهاهاها ماعلش جيت عالجرح يا كلبظ,Egypt,hate
اهم حاجة صحفي الجزيرة يتصوروا عا الاسفلت قبل الوصول لنيويورك بتكتب يا احمد؟,Egypt,normal
كلب و ﻻ يسوى,Egypt,hate
"""عمر المختار لا دخل لك فيه ياكلب الغرب ياعميل أنت إنسان قذر وابن وسخه أنت قيمتك تنضرب على قفاك بالصرماية ياصرماية""",Egypt,abusive
انت واشكالك اللي بتعبدو المرشد لكن احنا بنعبد ربنا بس ونحب اللي يحب بلدنا مش بنشتم بلدنا زيكو,Egypt,hate
الضاكتور الماسوني باسم يوسف فشخ الواقع علي كل المواقع ما سو ني لقب مش سهل حد يخده ..!! :),Egypt,normal
ما هو لو كام موجود علي الساحه المصريه دلوقت كنت مش هصدقه,Egypt,normal
انت وصولي ومطبلاتي مع اي حد وكل حد,Egypt,hate
طريقنا يبدأ من لا لقانون التظاهر.. #الامناء_اسقطوا_قانون_التظاهر #حريتهم_هى_حريتنا,Egypt,normal
اهو طلع براءه تفضل يا الحر قول كلمتك ولا خايف السيسي يسكتك زي مااخرصك قدام الناس انت لا راي لك قول مايقوله وشوف مايشوفه,Egypt,normal
"""إننا سنحمل وطننا على أكتافنا ، وننصر ثورتنا ، ونعلي قيمها وأهدافها ، ونستنقذ مصرنا من تلك الطغمة المستبدة . #الرئيس""",Egypt,normal
#رصد | #السيسي يصدر قرارا جمهوريا بفرض ضريبة على تذاكر السفر للخارج,Egypt,normal
كسمك علي كسم مرسي وكسم اﻻخوان كلهم في تلسجون زي الكﻻب ياوﻻد المتناكه,Egypt,abusive
ثبتكم الله وعجل الله فرجكم فلا تهنوا وﻻ تحزنوا لكم الأمن والعاقبة ولهم الرعب والهلاك .,Egypt,normal
الم يقل الله لتكونوا أمتا وسطا ويكون الرسول شهيدا عليكم اليس الشهيد حيا بل أحياء عند ربهم يرزقون,Egypt,normal
كابتشن كابتشن الحياة منغيرك قميءة و مزرية 😭😭😭,Egypt,normal
خليك عندك ياخول,Egypt,abusive
تغير الاسامي مبيرجعش حق رابعه العدويه اسم كبير مش متسمي عشان الاخوان .. ما هو ده تمامهم ومتنسوش تقفلو محطة السادات ..,Egypt,hate
كل الثقافات على مدى التاريخ عرفت بشرا فاسدين ونصابين يتظاهرون بممارسة الدين من اجل خداع الناس.مشكلتنا في مصر ان معظم الفاسدين متدينون فعلا,Egypt,hate
وياريت ندعي لتوحيد مذاهب الترفيه بين الشروق والمطريه وبورتو العقرب على مذهب أنون أباسعده,Egypt,normal
شخصيه معفنه,Egypt,hate
مقاتلات الرافال ستحلق بسماء القاهرة والجيزة فى الثانية والربع ظهرا #مصر #تحيا_مصر #السيسي,Egypt,normal
لا ما حبيتها منك يا فصول.. تحسب سخريتي لهذه الدرجة ضعيفة هههههه,Egypt,normal
"""فيه رئيس وﻻءه لعصابه فيه رئيس لبس السلطانيه فيه رئيس مايعرفش لغه اجنبيه فيه رئيس ﻻ يحكم في رئيس يعمل للعصابه فقط""",Egypt,normal
دلوقتي اللي افتكرت تتكلم عنها يا شيخ اتلهي,Egypt,hate
هو انت هتتهد امتى و تحل عن الريس عشان قرفنا و جبنا اخر منك و من اللى زيك,Egypt,hate
هي المقصود بيها ده اللي عندنا,Egypt,normal
عندك حق مستوى التعليم عندنا متدنى خرج واحد زيك لسه محتاج ابراهيم عيسى يمليه وبيدعم الارهاب ويهرب من المسئوليه تعليم فاشل زيك,Egypt,hate
يا حمديين ياعرص ؟؟؟ أمك عارفه ؟!,Egypt,abusive
ربنا معاك يا نضيف !!! بلد وسخة,Egypt,hate
"""#أزهى_عصور_المسخره هل ضيعت ""شيما"" محافظ بورسعيد؟""",Egypt,hate
ليس من باب النكد ولكن من باب تأمل قدرة الله كم كانت مكانتك في عهد الديكتاتور مبارك والآن ولا كلمة ولا نفس محدش عارف الخير فين,Egypt,normal
التحرش في مصر ممنهج الي حد كبير خصوصا من السلطات الامنيه سواً كان في الأحداث السياسية او كسياسة علي المدي البعيد ا,Egypt,hate
ولَك يا فطيس يابن التيس فضائحكم غطت المعموره فوقك خرا وتحت خرا يابن الخرا وبقول اففففففففففففففف ريحه خرا حمار الذي يسمعلك,Egypt,abusive
انت بقيت بتتويت كل يوم يعتبر,Egypt,normal
ياسنه سوخة !!!!!,Egypt,normal
رحم الله الشهيد، ذكري الوطني الحر تبقي في القلوب و ليس المدعين عملاء امريكا الذين تراهم علي الساحة يتطاولون.,Egypt,normal
والله المستعان علي البوب,Egypt,normal
ربنا ياخدك يا بعيد و ينظف العالم منك و من امثالك...خاف ربنا يا من اشترى دنياه بهوى غيره...ربنا يورينا فيك يوم يا منحط,Egypt,abusive
وكام واحد ولا ليهم لازمة كنا فاكرينهم بني آدمين لكن للأسف طلعوا خواجات,Egypt,hate
ربنا ياخدكم,Egypt,hate
مافي غيرك يحكي ياحيوان انت وسيد ك البيادة السيسي انتو شو قدمت لسوريا غير الدعم بصواريخ صناعة مص يا بس تفو عليكون كلاب والايام,Egypt,hate
"""وعلى أشباه مثقفين وهم في الحقيقة من حزب ابي جهل""",Egypt,hate
تقتل القتيل وتمشي في جنازته يامنافق,Egypt,hate
انت لسه عايش يا فاشل يا ابن الفاشل هههههههههههههههههههههههه,Egypt,abusive
سيبك من قطر وتلهي في الفقر اللي عاصركم ومذمة التسول اللي بليتوا العالم معاكم جاتك خيبة يابن فيفي ونت شكلك عامل زي البطة .,Egypt,abusive
ياريت كانت اتغيرت اخلاقيات كثيره و اولها الحكام,Egypt,normal
الش** دول انتوا اللى تعرفوهم يا بتوع نكاح الكاراتيه وحبلى بنجمك واذوب عشقا فيه .. يا ولاد الرقاصه,Egypt,abusive
ضاعت الاخلاق و القيم و الدليل هذه التعليقات,Egypt,normal
دا انت مش عامل فولو للريس يا حمدين!!ولا تويتة عن قناه السويس و الفرحة ال في البلد!!النبي اتوكس والعب ف خرة الاسد,Egypt,hate
حضرتك ليه حاطط صورتك؟ مش الصورة اللي عالشمال دي صورة حضرتك برضو؟,Egypt,hate
العوج في الايه لو فسر هو ماتفتروه ع الاسلام والمسلمين ياكدابين .,Egypt,hate
على جمعه يامعرص لايوجد انجس منك واللوم على كلاب اليوم السابع التى تستضيف أشكال قدرة مثلك ومثلهم,Egypt,abusive
انت سافل ومنحط ..قواد ومن تكتب لهم ويعجبوا بسفالة اهلك وانحطاطهم بهايم زيك روح ياشرموط بلدك هى أولى بك مالك ومال مصر يا واطى,Egypt,abusive
كان بيسلع بالسمعه في قرعته,Egypt,hate
كل الاحترام و التقدير لاخواتنا في لبنان. فيديوعن التعليقات السيئة على الاحداث.لخص ما كنت افكر فيه #عالشارع,Egypt,normal
نت فين يابلبلتى لسة هناك مش ناوى ترجع ياحبببى انا حضرتك الكورنفليكس,Egypt,normal
وانت لا دين ولاضمير,Egypt,hate
"""هو في حاجه اساسا تستاهل يبقي عليها حقد :-D انا اعرف ان الحقد بيبقي علي حاجه كويسه :-D :-D""",Egypt,normal
اروع فنان واعلامي عربي التزم بقضايا شعبه,Egypt,normal
حمضين ماتقوم تتطمن على سيشوارك,Egypt,hate
كلب,Egypt,abusive
وكمان عراقي فاشل روح ياشاطر العب بعيد يلا يابابا شوفاك واحد امريكاني يظبطك,Egypt,hate
محروقين منك علشان انت معلم عليهم وفاضحهم هو ده تمامهم قلة الأدب ... اوعي تزعل نفسك لو خرج العيب من أهل العيب يبقي عادي,Egypt,hate
صفر ايه وحياه امك اللى ابتديت منه بلا فقعه,Egypt,abusive
برافوا يا عرص انا عايزك تفشخ ام الشعب ابن القحبه وتخليه يسب ويلعن اليوم اللى انتخبك فيه,Egypt,abusive
"""البردعاوي ده لطيف خالص فعلا عقلانية وقيمية ايه هو بيتكلم عن واحد متخانق مع مراته ؟؟""",Egypt,normal
هههه بايخه قول له بلاش,Egypt,normal
عمم على رمم,Egypt,hate
حرب العراق كانت قرار امريكيا وليس قرارا دوليا فتقرير البرادعي جعل غزو امريكي غير مشروع.,Egypt,normal
انتي بتقولي ايه يا مروه ده كلام زي الرصاص في جتت زي النحاس وبعدين مبيقولش حرف ليه ع البوب حبيبه,Egypt,normal
ما خلاص يا علاء عرفنا - ارحم ديك ابونا بقا,Egypt,abusive
التويت بتاعة سوريا اللي كانت من يومين تقريبا,Egypt,normal
و أليس من حقك زيادة مرتبك من اللي مشغلينك؟,Egypt,normal
يامواشى المقال دة للبنى ادمين بس اية اللى مدخلكم هنا يلا الى الحظيرة الى الحظيرة,Egypt,hate
خيانه وعماله انت اهبل صح ولا غلط,Egypt,hate
كده فاضلك واحد تركى وواحد قطرى علشان تكمل,Egypt,normal
خراب عشان فضح اختراع الكفتة بتاع الجيش قصدك :)),Egypt,normal
بس داعش لما تذبح الناس يبقى ok فعلا بوب أو بوبي,Egypt,hate
اخرس يا عرصين .. هو انت لسه ليك نفس تتكلم.. لما الاخوان وحشين جوزت أختك لمحمد عامر مرشحهم للشورى ٢٠٠٥ و القيادي الإخواني ليه؟,Egypt,abusive
ماذا تريد ايها الحمار الابله من هذه التغريده اتفووووو عليك وعلى اللى مشغلينك,Egypt,abusive
مش حتخش مصر تانى ؟؟؟؟؟؟؟؟ والسيسى رئيس محترم ويا ريتك تتعلم مخاطبة الكبار وكله من منى الشاذلى هى الا قدمتك,Egypt,hate
يا عم انت شارب أيه؟,Egypt,hate
وأين أيزنهاور مصر يا أسواني؟ هل كنت ساذجا أم غبيا,Egypt,hate
لكن مرسي لم يكن كذلك و خرجتم عليه، الا تشاطرني الرأي أستاذي المحترم؟,Egypt,normal
كلنا بره ومش هنبطل نزايد على العجايز الي جابونا ورى,Egypt,normal
لا يتضمن مؤشر شنغهاي لافضل ١٠٠ جامعة أية جامعة من العالم العربي بينما به جامعتين من اسرائيل: أولويات مختلة لا تدرك ان العلم ركيزة المستقبل,Egypt,hate
ابه علاقة مراته ولا اهل بيته باحترام الشعب واللبناني وعتداته وتقاليده .. يا اخي احنا مش أحسن من حد,Egypt,normal
روح في داهية,Egypt,hate
""" انت عايز تولع في دين ابو البلد وخلاص وعمال تلغوص ب كلام هرتله انت اكبر مثال علي الحقد الطبقي""",Egypt,abusive
"""انت فعلا قذر عشان تشمت في بلدك بالطريقة دي .. ملعون ابوك يا شيخ """,Egypt,abusive
لا هو مش عايز حل سياسي في سوريا،، بس عايزه في الباقي .. او ده اللي انا فهمته,Egypt,normal
السكوت له ضريبة وثمن كما ان الاعتراض له ضريبة وثمن,Egypt,normal
....عسكر فاشلون ..وانتم ايها الاعلاميون كاذبون ...مش محتاجين طائرات ...الناس محتاجة تأكل ...وتشرب ...احناعندنا طائرات كثيرة,Egypt,hate
... محمد البرادعي رمز افتخر به ولكن الاغلب يجهلون مواقف هذا الرجل العظيم.,Egypt,normal
